location,site,year1stTag,tag,plot,dah.yr0,dah.yr1,dah.yr1.max,height.yr0,height.yr1,stems.yr0,stems.yr1,yr0,dens.cont.yr0,densEffect.yr0,dah.superclass.yr0,mortality.yr1,name,nhlc
unh,eff,2010,312,182,0.47,0.54,NA,97,116,1,1,2010,16,1,A,NA,eff182,NA
unh,eff,2010,313,182,0.33,0.32,NA,54,25,1,1,2010,16,15,A,NA,eff182,NA
unh,eff,2010,314,182,0.19,0.25,NA,19,31,1,1,2010,16,15,A,NA,eff182,NA
unh,eff,2010,318,187,0.32,0.46,NA,42,76,1,1,2010,12,11,A,NA,eff187,NA
unh,eff,2010,315,188,1.18,1.29,NA,178,212,3,3,2010,6,0,B,NA,eff188,NA
unh,eff,2010,316,188,0.91,1.12,NA,134,193,1,1,2010,6,4,B,NA,eff188,NA
unh,eff,2010,317,188,0.22,0.25,NA,33,41,4,3,2010,6,5,A,NA,eff188,NA
unh,eff,2010,335,19,0.29,0.36,NA,51,68,1,1,2010,11,10,A,NA,eff19,NA
unh,eff,2010,336,19,0.85,1.21,NA,111,169,1,1,2010,11,0,B,NA,eff19,NA
unh,eff,2010,337,19,0.32,0.86,NA,38,99,1,1,2010,11,10,A,NA,eff19,NA
unh,eff,2010,319,191,0.41,0.48,NA,69,89,1,1,2010,4,3,A,NA,eff191,NA
unh,eff,2010,320,191,0.19,0.23,NA,28,33,1,1,2010,4,3,A,NA,eff191,NA
unh,eff,2010,321,193,1.11,1.24,NA,215,225,1,1,2010,12,2,B,NA,eff193,NA
unh,eff,2010,322,193,1.35,1.51,NA,244,270,2,2,2010,12,2,B,NA,eff193,NA
unh,eff,2010,323,193,0.35,0.36,NA,44,60,1,1,2010,12,11,A,NA,eff193,NA
unh,eff,2010,324,198,0.21,0.22,NA,27,32,1,1,2010,26,25,A,NA,eff198,NA
unh,eff,2010,325,198,0.5,0.62,NA,97,115,1,1,2010,26,10,B,NA,eff198,NA
unh,eff,2010,326,198,0.74,0.83,NA,146,160,1,3,2010,26,10,B,NA,eff198,NA
unh,eff,2010,350,199,0.16,0.21,NA,18,31,1,2,2010,12,11,A,NA,eff199,NA
unh,eff,2010,351,199,0.24,0.27,NA,29,43,1,1,2010,12,11,A,NA,eff199,NA
unh,eff,2010,327,201,0.43,0.55,NA,71,96,3,3,2010,17,16,A,NA,eff201,NA
unh,eff,2010,328,201,0.85,0.96,NA,125,172,1,3,2010,17,9,B,NA,eff201,NA
unh,eff,2010,329,201,1.14,1.24,NA,177,192,4,5,2010,17,0,B,NA,eff201,NA
unh,eff,2010,330,213,0.47,0.49,NA,76,83,2,2,2010,18,17,A,NA,eff213,NA
unh,eff,2010,331,213,0.85,1.08,NA,138,175,1,1,2010,18,7,B,NA,eff213,NA
unh,eff,2010,332,215,1.08,1.14,NA,211,230,2,2,2010,8,0,B,NA,eff215,NA
unh,eff,2010,333,215,0.85,0.83,NA,143,157,1,1,2010,8,3,B,NA,eff215,NA
unh,eff,2010,334,215,0.34,0.43,NA,42,60,1,1,2010,8,7,A,NA,eff215,NA
unh,eff,2010,206,25,1.86,2.08,NA,401,401,8,8,2010,2,0,B,NA,eff25,NA
unh,eff,2010,203,27,0.78,0.78,NA,145,118,1,1,2010,5,1,B,NA,eff27,NA
unh,eff,2010,204,27,0.26,0.21,NA,21,27,1,1,2010,5,4,A,NA,eff27,NA
unh,eff,2010,205,27,0.16,0.19,NA,21,25,1,1,2010,5,4,A,NA,eff27,NA
unh,eff,2010,207,31,0.32,0.47,NA,39,63,4,2,2010,2,1,A,NA,eff31,NA
unh,eff,2010,208,31,0.42,0.55,NA,75,91,1,1,2010,2,1,A,NA,eff31,NA
unh,eff,2010,209,34,0.31,0.34,NA,32,51,2,1,2010,8,7,A,NA,eff34,NA
